id,event,obj,page_load_time,trigger_time,user_id,device
519,9,,2022-08-29 21:31:21,2022-08-29 21:31:26.526424,60,1
520,10,,2022-08-29 21:30:00,2022-08-29 21:31:28.040956,59,1
521,9,,2022-08-29 21:31:29,2022-08-29 21:31:30.341227,59,1
522,1,,2022-08-29 21:31:26,2022-08-29 21:31:33.867459,60,1
523,28,,2022-08-29 21:30:47,2022-08-29 21:31:37.995555,56,1
524,13,,2022-08-29 21:40:39,2022-08-29 21:40:41.950646,58,1
525,26,,2022-08-29 21:41:46,2022-08-29 21:41:52.295734,58,1
526,13,,2022-08-29 21:31:30,2022-08-29 21:43:47.857851,59,1
527,27,,2022-08-29 21:43:52,2022-08-29 21:44:13.722009,59,1
528,28,,2022-08-29 21:44:13,2022-08-29 21:44:14.185763,59,1
529,6,,2022-08-29 21:56:47,2022-08-29 21:56:51.946504,,1
530,6,,2022-08-29 21:57:32,2022-08-29 21:57:33.597230,,1
531,6,,2022-08-29 22:00:05,2022-08-29 22:00:10.610075,,1
532,28,,2022-08-29 19:17:12,2022-08-29 22:17:14.861219,37,1
533,28,,2022-08-29 19:17:30,2022-08-29 22:18:21.935112,37,1
534,26,,2022-08-29 19:19:48,2022-08-29 22:20:49.670202,37,1
535,28,,2022-08-29 19:25:38,2022-08-29 22:25:40.471832,37,1
536,7,,2022-08-29 19:27:11,2022-08-29 22:27:16.118755,,1
537,7,,2022-08-29 19:27:16,2022-08-29 22:27:21.239893,,1
538,21,4,2022-08-29 19:27:21,2022-08-29 22:27:33.260136,46,1
539,21,4,2022-08-29 19:27:21,2022-08-29 22:27:35.307856,46,1
540,21,4,2022-08-29 19:27:21,2022-08-29 22:27:36.692406,46,1
541,1,,2022-08-29 19:27:44,2022-08-29 22:27:45.542526,46,1
542,21,4,2022-08-29 19:27:56,2022-08-29 22:27:58.703117,46,1
543,21,4,2022-08-29 19:27:56,2022-08-29 22:27:59.475886,46,1
544,1,,2022-08-29 19:28:02,2022-08-29 22:28:05.470508,46,1
545,28,,2022-08-29 19:28:06,2022-08-29 22:28:43.056700,46,1
546,6,,2022-08-29 22:49:05,2022-08-29 22:49:07.349465,,1
547,8,,2022-08-29 22:49:07,2022-08-29 22:49:36.126297,,1
548,6,,2022-08-29 22:50:34,2022-08-29 22:50:37.236952,62,1
549,26,,2022-08-29 22:50:37,2022-08-29 22:50:43.757453,62,1
550,9,,2022-08-29 22:50:43,2022-08-29 22:50:48.433799,62,1
551,7,,2022-08-30 11:11:37,2022-08-29 23:11:41.940633,,0
552,28,,2022-08-30 11:11:42,2022-08-29 23:11:50.998812,37,0
553,13,,2022-08-29 14:15:27,2022-08-29 23:25:56.817124,51,1
554,28,,2022-08-29 23:26:01,2022-08-29 23:26:13.937477,51,1
555,13,,2022-08-29 23:17:17,2022-08-29 23:33:39.752055,62,1
556,6,,2022-08-29 23:35:39,2022-08-29 23:35:41.565065,,1
557,8,,2022-08-29 23:35:41,2022-08-29 23:36:05.370407,,1
558,7,,2022-09-12 14:11:16,2022-08-29 23:55:19.702379,,1
559,28,,2022-09-12 14:11:20,2022-08-29 23:55:23.077723,37,1
560,6,,2022-08-30 00:14:18,2022-08-30 00:14:22.960445,,1
561,28,,2022-08-29 21:46:40,2022-08-30 00:47:42.522516,37,1
562,7,,2022-08-30 12:48:26,2022-08-30 00:48:28.333913,,1
563,28,,2022-08-30 13:04:09,2022-08-30 01:04:10.485610,37,1
564,28,,2022-08-29 22:05:22,2022-08-30 01:05:28.067171,37,1
565,20,11,2022-08-29 22:05:27,2022-08-30 01:05:30.697326,37,1
566,20,11,2022-08-29 22:05:27,2022-08-30 01:05:31.323675,37,1
567,20,11,2022-08-29 22:05:27,2022-08-30 01:05:31.900638,37,1
568,28,,2022-08-29 22:07:58,2022-08-30 01:08:06.165469,37,1
569,28,,2022-08-30 13:08:23,2022-08-30 01:08:24.957642,37,1
570,28,,2022-08-29 22:16:55,2022-08-30 01:16:58.514959,37,1
571,7,,2022-08-29 22:40:40,2022-08-30 01:40:44.881205,,1
572,28,,2022-08-29 22:40:44,2022-08-30 01:40:47.874443,46,1
573,28,,2022-08-29 23:33:23,2022-08-30 02:33:26.982362,46,1
574,6,,2022-08-30 08:55:07,2022-08-30 08:55:09.933548,,1
575,8,,2022-08-30 08:55:09,2022-08-30 08:55:38.177042,,1
576,6,,2022-08-30 10:08:22,2022-08-30 10:08:28.712514,,1
577,6,,2022-08-30 10:08:34,2022-08-30 10:08:34.910503,,1
578,8,,2022-08-30 10:08:26,2022-08-30 10:09:02.936712,,1
579,26,,2022-08-30 10:09:01,2022-08-30 10:09:16.573089,65,1
580,27,,2022-08-30 10:09:14,2022-08-30 10:09:25.470658,65,1
581,28,,2022-08-30 10:09:23,2022-08-30 10:09:28.380318,65,1
582,1,,2022-08-30 10:20:56,2022-08-30 10:21:58.603939,63,1
583,28,,2022-08-30 10:20:56,2022-08-30 10:22:00.708744,63,1
584,26,,2022-08-30 10:09:26,2022-08-30 10:24:46.532341,65,1
585,28,,2022-08-30 10:24:44,2022-08-30 10:24:49.946564,65,1
586,1,,2022-08-30 10:24:48,2022-08-30 10:25:04.249234,65,1
587,1,,2022-08-30 10:24:48,2022-08-30 10:25:05.300904,65,1
588,6,,2022-08-30 10:26:40,2022-08-30 10:26:46.638889,,1
589,8,,2022-08-30 10:26:46,2022-08-30 10:28:10.743741,,1
590,10,,2022-08-30 10:28:11,2022-08-30 10:29:22.595356,66,1
591,9,,2022-08-30 10:29:23,2022-08-30 10:29:41.290834,66,1
592,13,,2022-08-30 10:29:41,2022-08-30 10:38:42.991432,66,1
593,26,,2022-08-30 10:38:43,2022-08-30 10:38:53.239813,66,1
594,27,,2022-08-30 10:38:53,2022-08-30 10:38:54.906561,66,1
595,28,,2022-08-30 10:38:55,2022-08-30 10:38:56.006795,66,1
596,26,,2022-08-30 10:39:21,2022-08-30 10:39:26.296906,66,1
597,28,,2022-08-30 10:39:26,2022-08-30 10:39:28.012159,66,1
598,6,,2022-08-30 10:22:35,2022-08-30 10:44:22.433157,63,1
599,27,,2022-08-30 10:44:22,2022-08-30 10:44:25.664361,63,1
600,28,,2022-08-30 10:44:25,2022-08-30 10:44:26.495964,63,1
601,27,,2022-08-30 10:44:26,2022-08-30 10:44:29.215744,63,1
602,26,,2022-08-30 10:44:29,2022-08-30 10:45:42.909241,63,1
603,9,,2022-08-30 10:45:43,2022-08-30 10:45:44.517751,63,1
604,28,,2022-08-30 10:45:44,2022-08-30 10:45:53.526923,63,1
605,6,,2022-08-30 10:47:30,2022-08-30 10:47:32.099701,,1
606,6,,2022-08-30 10:47:35,2022-08-30 10:47:38.358753,,1
607,6,,2022-08-30 10:54:31,2022-08-30 10:54:32.508797,,1
608,8,,2022-08-30 10:54:32,2022-08-30 10:55:01.028420,,1
609,10,,2022-08-30 10:55:01,2022-08-30 10:59:53.700651,67,1
610,10,,2022-08-30 10:59:54,2022-08-30 10:59:56.689846,67,1
611,10,,2022-08-30 10:59:56,2022-08-30 11:00:00.748775,67,1
612,26,,2022-08-30 11:00:00,2022-08-30 11:00:02.592523,67,1
613,9,,2022-08-30 11:00:02,2022-08-30 11:00:05.187094,67,1
614,1,,2022-08-30 11:00:17,2022-08-30 11:00:21.250636,67,1
615,6,,2022-08-30 11:00:17,2022-08-30 11:00:23.022139,67,1
616,26,,2022-08-30 11:00:23,2022-08-30 11:00:25.279159,67,1
617,27,,2022-08-30 11:00:25,2022-08-30 11:00:26.329773,67,1
618,7,,2022-09-13 06:58:54,2022-08-30 11:13:13.963540,,1
619,28,,2022-09-13 06:59:02,2022-08-30 11:13:17.721942,46,1
620,6,,2022-08-30 11:22:47,2022-08-30 11:25:40.316271,,1
621,8,,2022-08-30 11:25:40,2022-08-30 11:26:12.304231,,1
622,6,,2022-08-30 11:37:11,2022-08-30 11:37:13.946407,,1
623,8,,2022-08-30 11:37:14,2022-08-30 11:37:40.751628,,1
